0.055,38959,10,
0.1,38958,10,
0.133,38958,11,
0.165,38958,12,
0.2,38958,13,
0.233,38958,14,
0.267,38957,15,
0.3,38957,16,
0.333,38957,16,
0.367,38957,17,
0.4,38957,18,
0.433,38956,19,
0.467,38956,20,
0.5,38956,21,
0.533,38956,22,
0.567,38956,22,
0.6,38955,23,
0.634,38955,24,
0.667,38955,25,
0.7,38955,26,
0.734,38955,27,
0.767,38954,28,
0.8,38954,28,
0.834,38954,29,
0.867,38954,30,
0.9,38953,31,
0.934,38953,32,
0.967,38953,33,
1.001,38953,34,
1.034,38952,35,
1.067,38952,36,
1.101,38951,37,
1.134,38951,39,
1.167,38950,40,
1.201,38950,41,
1.301,,45,
1.334,,46,
1.368,,47,
1.401,,48,
1.434,,49,
1.468,,50,
1.501,,52,
1.534,,53,
1.568,,54,
1.601,,55,
1.635,,56,
1.668,,58,
1.735,,60,
1.768,,61,
1.835,,63,
,,,
5.67,38808,200.000016,
5.7,38806,200.999988,
5.73,38804,201.999996,
5.77,38802,203.000004,
5.8,38801,204.000012,
5.83,38799,204.999984,
5.87,38797,207,
5.9,38796,208.000008,
5.93,38794,209.000016,
5.97,38792,209.999988,
6,38790,210.999996,
6.03,38788,212.000004,
6.07,38786,213.000012,
6.1,38783,213.999984,
6.13,38781,216,
6.17,38779,217.000008,
6.2,38777,218.000016,
6.23,38775,218.999988,
6.27,38773,219.999996,
6.3,38771,221.000004,
6.33,38769,222.000012,
6.37,38766,222.999984,
6.4,38764,225,
6.43,38762,226.000008,
6.47,38760,227.000016,
6.5,38758,227.999988,
6.53,38756,228.999996,
6.57,38754,230.000004,
6.6,38751,231.000012,
6.64,38749,231.999984,
6.67,38747,234,
6.7,38745,235.000008,
6.74,38743,236.000016,
6.77,38741,236.999988,
6.8,38739,237.999996,
6.84,38736,239.000004,
6.9,38732,240.999984,
6.94,38730,243,
6.97,38728,244.000008,
7,38725,245.000016,
7.04,38723,245.999988,
7.07,38721,246.999996,
7.1,38718,248.000004,
7.14,38716,249.999984,
7.17,38713,250.999992,
7.2,38711,252,
7.24,38708,253.000008,
7.27,38706,254.000016,
7.3,38703,255.999996,
7.34,38701,257.000004,
7.37,38699,258.000012,
7.4,38696,258.999984,
7.44,38694,259.999992,
7.47,38691,261,
7.5,38689,263.000016,
7.54,38686,263.999988,
7.57,38684,264.999996,
7.6,38681,266.000004,
7.64,38679,267.000012,
7.67,38677,268.999992,
7.7,38674,270,
7.74,38672,271.000008,
7.77,38669,272.000016,
7.8,38667,272.999988,
7.84,38664,273.999996,
7.87,38662,276.000012,
7.9,38660,276.999984,
7.94,38657,277.999992,
7.97,38655,279,
8,38652,280.000008,
8.04,38649,281.999988,
8.07,38646,282.999996,
8.01,38643,283.999968,
8.14,38640,285.000012,
8.17,38637,285.999984,
8.2,38635,286.999992,
8.24,38632,289.000008,
8.27,38629,290.000016,
8.3,38626,290.999988,
8.37,38620,293.000004,
8.4,38618,294.999984,
8.44,38615,295.999992,
8.47,38612,297,
8.5,38609,298.000008,
8.54,38606,299.000016,
8.57,38603,299.999988,
8.6,38600,302.000004,
8.64,38598,303.000012,
8.67,38595,303.999984,
8.7,38592,304.999992,
8.74,38589,306,
8.77,38586,308.000016,
8.8,38583,308.999988,
8.84,38581,309.999996,
8.87,38578,311.000004,
8.9,38575,312.000012,
8.97,38569,315,
9,38566,316.000008,
9.04,38563,317.000016,
9.07,38560,317.999988,
9.1,38557,320.000004,
9.14,38554,321.000012,
9.17,38551,321.999984,
9.2,38548,322.999992,
9.24,38545,325.000008,
9.27,38542,326.000016,
9.3,38539,326.999988,
9.34,38536,327.999996,
9.37,38532,329.000004,
9.4,38529,330.999984,
9.44,38526,331.999992,
9.47,38523,333,
9.5,38520,334.000008,
9.54,38517,335.999988,
9.57,38514,336.999996,
9.6,38511,338.000004,
9.64,38508,339.000012,
9.67,38505,340.999992,
9.7,38502,342,
9.74,38499,343.000008,
9.77,38496,344.000016,
9.8,38493,345.999996,
9.84,38490,347.000004,
9.87,38487,348.000012,
9.9,38484,348.999984,
9.94,38481,349.999992,
9.97,38477,352.000008,
10.01,38474,353.000016,
10.04,38470,353.999988,
10.07,38467,354.999996,
10.11,38464,356.000004,
10.14,38460,357.000012,
10.17,38457,357.999984,
10.21,38453,360,
10.24,38450,361.000008,
10.27,38446,362.000016,
10.31,38443,362.999988,
10.34,38439,363.999996,
10.37,38436,365.000004,
10.41,38432,366.000012,
10.44,38429,366.999984,
10.47,38426,369,
10.51,38422,370.000008,
10.54,38419,371.000016,
10.57,38415,371.999988,
10.61,38412,372.999996,
10.64,38408,374.000004,
10.67,38405,375.000012,
10.71,38401,375.999984,
10.74,38398,378,
10.77,38394,379.000008,
10.81,38391,380.000016,
10.84,38388,380.999988,
10.87,38384,381.999996,
10.91,38381,383.000004,
10.94,38377,384.000012,
10.97,38374,385.999992,
11.01,38370,387,
11.04,38366,388.000008,
11.07,38362,389.000016,
11.11,38359,389.999988,
11.14,38355,392.000004,
11.17,38351,393.000012,
11.21,38347,393.999984,
11.24,38343,394.999992,
11.27,38340,397.000008,
11.31,38336,398.000016,
11.34,38332,398.999988,
11.37,38328,399.999996,
11.41,38325,402.000012,
11.44,38321,402.999984,
11.47,38317,403.999992,
11.51,38313,405,
11.54,38310,407.000016,
11.57,38306,407.999988,
11.61,38302,408.999996,
11.64,38298,410.000004,
11.67,38295,411.000012,
11.71,38291,412.999992,
11.74,38287,414,
11.77,38283,415.000008,
11.81,38280,416.000016,
11.84,38276,417.999996,
11.87,38272,419.000004,
