89.9984,0,-174.997,1.53554e-06,1
89.9936,0,-174.989,7.82416e-06,2
89.9856,0,-174.974,2.12325e-05,3
89.9744,0,-174.954,4.41556e-05,4
89.9601,0,-174.929,7.89884e-05,5
89.9427,0,-174.898,0.000128126,6
89.9223,0,-174.862,0.000193964,7
89.8987,0,-174.82,0.000278897,8
89.8722,0,-174.772,0.00038532,9
89.8426,0,-174.72,0.000515628,10
89.8101,0,-174.662,0.000672212,11
89.7746,0,-174.599,0.000857484,12
89.7362,0,-174.53,0.00107381,13
89.6949,0,-174.457,0.00132361,14
89.6507,0,-174.378,0.00160928,15
89.6037,0,-174.294,0.00193318,16
89.5539,0,-174.205,0.00229775,17
89.5012,0,-174.112,0.00270537,18
89.4458,0,-174.013,0.00315842,19
89.3877,0,-173.909,0.0036593,20
89.3268,0,-173.801,0.00421042,21
89.2633,0,-173.688,0.00481416,22
89.197,0,-173.57,0.00547292,23
89.1282,0,-173.447,0.00618911,24
89.0567,0,-173.32,0.00696509,25
88.9826,0,-173.188,0.00780329,26
88.906,0,-173.052,0.0087061,27
88.8269,0,-172.911,0.00967588,28
88.7452,0,-172.765,0.0107151,29
88.6611,0,-172.615,0.0118261,30
88.5744,0,-172.461,0.0130113,31
88.4854,0,-172.303,0.0142729,32
88.394,0,-172.14,0.0156136,33
88.3001,0,-171.973,0.0170357,34
88.2039,0,-171.801,0.0185415,35
88.1054,0,-171.626,0.0201335,36
88.0046,0,-171.446,0.0218141,37
87.9015,0,-171.263,0.0235856,38
87.7962,0,-171.075,0.0254504,39
87.6886,0,-170.884,0.027411,40
87.5789,0,-170.688,0.0294697,41
87.4669,0,-170.489,0.0316289,42
87.3528,0,-170.286,0.033891,43
87.2366,0,-170.079,0.0362584,44
87.1183,0,-169.868,0.0387336,45
86.9979,0,-169.654,0.0413189,46
86.8755,0,-169.435,0.0440167,47
86.7511,0,-169.214,0.0468294,48
86.6247,0,-168.989,0.0497593,49
86.4963,0,-168.76,0.052809,50
86.3659,0,-168.528,0.0559807,51
86.2337,0,-168.292,0.0592769,52
86.0995,0,-168.054,0.0627001,53
85.9635,0,-167.811,0.0662525,54
85.8257,0,-167.566,0.0699364,55
85.686,0,-167.317,0.0737545,56
85.5446,0,-167.065,0.0777091,57
85.4014,0,-166.81,0.0818025,58
85.2565,0,-166.552,0.0860371,59
85.1098,0,-166.291,0.0904153,60
84.9615,0,-166.027,0.0949396,61
84.8116,0,-165.76,0.0996123,62
84.66,0,-165.49,0.104436,63
84.5067,0,-165.217,0.109413,64
84.352,0,-164.941,0.114545,65
84.1956,0,-164.663,0.119835,66
84.0378,0,-164.382,0.125286,67
83.8784,0,-164.098,0.1309,68
83.7175,0,-163.811,0.136679,69
83.5553,0,-163.522,0.142625,70
83.3915,0,-163.231,0.148741,71
83.2264,0,-162.937,0.15503,72
83.0599,0,-162.64,0.161494,73
82.8921,0,-162.341,0.168134,74
82.723,0,-162.04,0.174955,75
82.5525,0,-161.737,0.181957,76
82.3808,0,-161.431,0.189144,77
82.2079,0,-161.123,0.196517,78
82.0337,0,-160.812,0.204079,79
81.8584,0,-160.5,0.211833,80
81.6818,0,-160.186,0.219781,81
81.5042,0,-159.869,0.227925,82
81.3254,0,-159.551,0.236268,83
81.1455,0,-159.231,0.244812,84
80.9646,0,-158.909,0.25356,85
80.7827,0,-158.584,0.262513,86
80.5997,0,-158.259,0.271675,87
80.4158,0,-157.931,0.281048,88
80.2309,0,-157.602,0.290633,89
80.045,0,-157.271,0.300434,90
79.8583,0,-156.938,0.310453,91
79.6707,0,-156.604,0.320693,92
79.4822,0,-156.268,0.331155,93
79.2929,0,-155.931,0.341842,94
79.1028,0,-155.593,0.352756,95
78.9119,0,-155.253,0.363901,96
78.7203,0,-154.911,0.375277,97
78.5279,0,-154.569,0.386888,98
78.3349,0,-154.225,0.398737,99
78.1411,0,-153.88,0.410825,100
77.9468,0,-153.534,0.423154,101
77.7518,0,-153.187,0.435728,102
77.5562,0,-152.838,0.448548,103
77.36,0,-152.489,0.461618,104
77.1633,0,-152.139,0.474939,105
76.9661,0,-151.787,0.488513,106
76.7684,0,-151.435,0.502344,107
76.5702,0,-151.082,0.516434,108
76.3716,0,-150.729,0.530784,109
76.1725,0,-150.374,0.545398,110
75.9731,0,-150.019,0.560278,111
75.7733,0,-149.663,0.575426,112
75.5732,0,-149.307,0.590844,113
75.3728,0,-148.95,0.606535,114
75.1721,0,-148.592,0.622502,115
74.9711,0,-148.234,0.638746,116
74.7699,0,-147.876,0.655271,117
74.5685,0,-147.517,0.672078,118
74.3669,0,-147.158,0.689171,119
74.1652,0,-146.799,0.70655,120
73.9633,0,-146.44,0.724219,121
73.7613,0,-146.08,0.742181,122
73.5592,0,-145.72,0.760437,123
73.3571,0,-145.36,0.778989,124
73.155,0,-145,0.797842,125
72.9529,0,-144.64,0.816995,126
72.7507,0,-144.28,0.836453,127
72.5487,0,-143.92,0.856218,128
72.3467,0,-143.561,0.876291,129
72.1448,0,-143.201,0.896676,130
71.9431,0,-142.842,0.917374,131
71.7415,0,-142.483,0.938389,132
71.5401,0,-142.124,0.959722,133
71.3389,0,-141.766,0.981375,134
71.1379,0,-141.408,1.00335,135
70.9372,0,-141.05,1.02565,136
70.7368,0,-140.693,1.04829,137
70.5366,0,-140.337,1.07125,138
70.3369,0,-139.981,1.09454,139
70.1374,0,-139.626,1.11817,140
69.9384,0,-139.272,1.14214,141
69.7398,0,-138.918,1.16644,142
69.5416,0,-138.565,1.19109,143
69.3439,0,-138.213,1.21609,144
69.1467,0,-137.861,1.24143,145
68.95,0,-137.511,1.26712,146
68.7538,0,-137.162,1.29316,147
68.5582,0,-136.813,1.31956,148
68.3632,0,-136.466,1.34632,149
68.1689,0,-136.12,1.37343,150
67.9751,0,-135.775,1.4009,151
67.7821,0,-135.431,1.42874,152
67.5897,0,-135.089,1.45695,153
67.3981,0,-134.747,1.48552,154
67.2072,0,-134.407,1.51447,155
67.0171,0,-134.069,1.54379,156
66.8278,0,-133.732,1.57348,157
66.6393,0,-133.396,1.60355,158
66.4517,0,-133.062,1.63401,159
66.265,0,-132.729,1.66485,160
66.0791,0,-132.398,1.69607,161
65.8942,0,-132.069,1.72768,162
65.7103,0,-131.741,1.75968,163
65.5273,0,-131.416,1.79207,164
65.3454,0,-131.092,1.82486,165
65.1645,0,-130.769,1.85805,166
64.9846,0,-130.449,1.89163,167
64.8058,0,-130.131,1.92562,168
64.6282,0,-129.814,1.96002,169
64.4516,0,-129.5,1.99482,170
64.2763,0,-129.188,2.03003,171
64.1021,0,-128.877,2.06565,172
63.9292,0,-128.569,2.10168,173
63.7575,0,-128.264,2.13814,174
63.587,0,-127.96,2.17501,175
63.4179,0,-127.659,2.2123,176
63.25,0,-127.36,2.25002,177
63.0836,0,-127.063,2.28816,178
62.9185,0,-126.769,2.32673,179
62.7547,0,-126.478,2.36574,180
62.5924,0,-126.189,2.40517,181
62.4316,0,-125.902,2.44505,182
62.2722,0,-125.619,2.48536,183
62.1144,0,-125.337,2.52611,184
61.958,0,-125.059,2.5673,185
61.8032,0,-124.783,2.60894,186
61.65,0,-124.51,2.65103,187
